registro_id,obra_id,data_registro,requisicao_id,empreiteiro_id,fornecedor_id,tipo_obra,fase_obra,ambiente,servico,complexidade_execucao,necessidade_corte_ajuste,material,tipo_item_material,unidade_medida,material_fragil,material_modular,custo_unitario,quantidade_teorica,indice_perda_orcado,quantidade_orcada,compra_emergencial,pressao_prazo,qtd_frentes_simultaneas,quantidade_real_consumida,quantidade_sobra_reaproveitavel,quantidade_perdida_nao_reaproveitavel,houve_retrabalho_real,motivo_principal_perda,indice_perda_real,custo_perda_real,risco_perda_real
REG_00001,OBRA_020,2025-07-12,REQ_01849,EMP_014,FORN_040,industrial,fechamento,interno,impermeabilizacao,media,alta,manta_asfaltica,principal,m2,0,1,40.16,2013.07,0.1047,2223.91,0,media,2,2297.46,67.78,216.62,0,recorte_ajuste,0.1413,8699.36,alto
REG_00002,OBRA_003,2025-02-09,REQ_01673,EMP_029,FORN_040,comercial,acabamento,interno,esquadrias_madeira,media,alta,porta_madeira,principal,un,1,1,940.6,2331.83,0.021,2380.81,0,media,1,2651.13,104.37,214.92,1,retrabalho,0.1369,202158.16,alto
REG_00003,OBRA_018,2025-04-23,REQ_02051,EMP_035,FORN_005,industrial,fechamento,interno,vedacao_alvenaria,media,alta,bloco_ceramico,principal,un,1,1,3.0,1598.93,0.0886,1740.63,0,media,5,1809.75,53.78,157.03,0,consumo_acima_previsto,0.1318,471.1,alto
REG_00004,OBRA_014,2025-07-31,REQ_00070,EMP_033,FORN_008,industrial,estrutura,externo,estrutura_concreto,media,alta,forma_madeira,acessorio,m2,0,1,69.73,1909.36,0.0599,2023.75,1,media,3,2184.37,49.4,225.61,0,consumo_acima_previsto,0.144,15731.87,alto
REG_00005,OBRA_013,2025-02-21,REQ_01355,EMP_001,FORN_046,comercial,estrutura,externo,estrutura_concreto,baixa,alta,concreto,principal,m3,0,0,311.64,2049.12,0.0286,2107.73,0,alta,4,2214.72,46.52,119.08,0,recorte_ajuste,0.0808,37108.88,medio
REG_00006,OBRA_025,2025-03-23,REQ_02133,EMP_022,FORN_040,industrial,acabamento,externo,pintura,alta,baixa,selador,consumivel,l,0,0,5.57,379.94,0.0616,403.34,0,media,7,422.29,16.47,25.88,0,recorte_ajuste,0.1115,144.13,medio
REG_00007,OBRA_013,2025-08-12,REQ_00438,EMP_027,FORN_057,comercial,acabamento,fachada,esquadrias_metal_vidro,media,media,vidro,principal,m2,1,1,204.27,2178.05,0.0412,2267.88,1,alta,6,2358.16,50.38,129.73,0,sobra_nao_reaproveitavel,0.0827,26499.46,medio
REG_00008,OBRA_022,2025-05-05,REQ_02114,EMP_022,FORN_081,residencial,instalacoes,interno,instalacoes_incendio,alta,baixa,conexao_incendio,acessorio,un,0,0,55.11,312.44,0.0568,330.17,0,baixa,6,338.75,3.3,23.01,0,recorte_ajuste,0.0842,1267.86,medio
REG_00009,OBRA_001,2025-02-18,REQ_01739,EMP_022,FORN_037,comercial,acabamento,externo,revestimento_piso_parede,media,media,argamassa_colante,consumivel,kg,0,0,3.01,580.63,0.0803,627.27,0,alta,4,674.54,22.31,71.6,1,retrabalho,0.1617,215.52,alto
REG_00010,OBRA_001,2025-02-11,REQ_02063,EMP_046,FORN_086,comercial,acabamento,externo,esquadrias_madeira,alta,alta,porta_madeira,principal,un,1,1,584.28,808.28,0.0433,843.3,1,media,6,918.39,23.9,86.21,0,consumo_acima_previsto,0.1362,50372.55,alto
REG_00011,OBRA_001,2025-07-08,REQ_01019,EMP_009,FORN_003,comercial,acabamento,interno,esquadrias_madeira,media,media,batente_madeira,principal,un,0,1,229.43,1700.01,0.0419,1771.25,0,media,6,1910.79,58.9,151.88,0,erro_execucao,0.124,34846.87,medio
